Unnamed: 0,Prov,Nom de station,stnid,année déb.,mois déb.,année fin.,mois fin.,lat (deg),long (deg),élév (m),stns jointes,Tmax,Tmax90p,Tmin,Tmin10p,DG0
0,BC,AGASSIZ,1100120,1893,1,2017,12,49.25,-121.77,15,N,,,,,
1,BC,ATLIN,1200560,1905,8,2017,12,59.57,-133.7,674,N,5.630427007323309,18.90333333333333,-3.46052025984802,-19.235,860.0833333333335
2,BC,BARKERVILLE,1090660,1888,2,2015,3,53.07,-121.52,1265,N,,,,,
3,BC,BEAVERDELL,1130771,1939,1,2006,9,49.48,-119.05,838,Y,12.628016976304446,23.641666666666666,4.0174785854164,-3.6460000000000004,1798.0933333336664
4,BC,BLIND CHANNEL,1021480,1958,7,2016,2,50.42,-125.5,23,N,12.15561571337812,20.200666666666667,6.7768927003681965,1.0946666666666665,2518.6800000000007
5,BC,BLUE RIVER,1160899,1946,9,2017,12,52.13,-119.28,683,Y,10.440753999707484,25.99166666666667,-1.1250141371004092,-12.582333333333334,987.3633333333332
6,BC,CAPE SCOTT,1031353,1921,7,2016,6,50.78,-128.43,72,Y,,,,,
7,BC,CAPE ST JAMES,1051351,1944,12,2017,12,51.93,-131.02,89,Y,,,,,
8,BC,CARIBOO LODGE,1171393,1914,1,2015,6,52.72,-119.47,1096,Y,,,,,
9,BC,COMOX,1021830,1935,11,2017,12,49.72,-124.9,26,Y,13.73761324450433,23.102333333333334,6.4248504878109625,-0.526,2444.393333333333
10,BC,CRANBROOK,1152105,1901,1,2017,12,49.62,-115.78,940,Y,11.960029394925758,27.32033333333333,0.4038360567994523,-11.355333333333334,1383.2599999999993
11,BC,CRESTON,1142160,1912,6,2015,6,49.1,-116.52,597,N,,,,,
12,BC,DARFIELD,1162265,1913,12,2017,11,51.3,-120.18,412,Y,12.890234190845545,27.69166666666667,1.8237293299431268,-8.123333333333335,1525.7133333333334
13,BC,DAWSON CREEK,1182289,1952,9,2017,12,55.75,-120.18,655,Y,8.238655807595983,23.50066666666667,-4.396880546846629,-22.558,984.35666666708
14,BC,DEASE LAKE,1192341,1944,9,2017,12,58.42,-130.0,807,Y,5.288416053408487,19.868666666666673,-6.06857964260725,-22.478,602.0333333337334
15,BC,ESTEVAN POINT,1032730,1923,10,2017,12,49.38,-126.55,7,N,,,,,
16,BC,FAUQUIER,1142820,1913,2,2015,6,49.87,-118.07,490,N,,,,,
17,BC,FORT NELSON,1192946,1937,9,2017,12,58.83,-122.6,382,Y,5.2766175066294085,23.969,-5.660010626933262,-24.924,1124.6466666666663
18,BC,FORT ST JAMES,1092970,1895,1,2017,12,54.45,-124.25,686,N,8.993987030989864,22.32833333333333,-1.9410717934420332,-15.426666666666666,1010.29
19,BC,FORT ST JOHN,1183001,1939,1,2017,12,56.23,-120.73,695,Y,7.160339097237817,22.53266666666667,-2.2063037902038567,-19.855333333333334,1298.4133333333334
20,BC,GERMANSEN,1183090,1951,8,2013,11,55.78,-124.7,766,N,7.211516312691477,21.891000000000005,-4.251207723617641,-19.457,753.6966666666666
21,BC,GLACIER,1173191,1908,1,2014,7,51.3,-117.52,1323,Y,6.258868291336577,21.106666666666666,-2.3191711902609025,-12.903333333333334,642.41
22,BC,GOLDEN,1173210,1902,4,2017,12,51.3,-116.98,785,N,10.784910162345843,25.71066666666667,-0.5707798977624041,-12.685333333333334,1176.1699999999996
23,BC,KAMLOOPS,1163781,1890,1,2017,12,50.7,-120.45,345,Y,14.867875090450882,29.522,3.957843526212042,-6.456,2080.3866666666668
24,BC,KASLO,1143900,1912,3,2017,12,49.92,-116.92,591,N,,,,,
25,BC,KELOWNA,1123993,1899,3,2014,4,49.87,-119.48,430,Y,14.479752014737086,28.82066666666667,2.71286575844712,-6.279333333333333,1631.5500000006666
26,BC,LANGARA,1054500,1936,7,2017,12,54.25,-133.05,41,N,10.066540111433742,15.446000000000005,5.74340133605726,0.7556666666666666,2144.9699999999993
27,BC,MCINNES ISLAND,1065010,1955,1,2017,12,52.27,-128.72,26,N,11.303229312832597,17.164,7.016292173347463,1.9490000000000005,2587.876666667033
28,BC,OLIVER,1125766,1955,1,2017,12,49.18,-119.55,297,N,16.105510858401427,30.87666666666667,4.657221707075265,-4.868333333333334,2167.5733333333333
29,BC,PENTICTON,1126146,1907,4,2017,12,49.47,-119.6,344,Y,14.975788382363953,29.15866666666666,4.25455964767822,-4.799666666666666,2009.45
30,BC,PORT HARDY,1026271,1944,5,2017,12,50.68,-127.37,22,Y,11.807715062926945,18.19866666666667,5.519685792486826,-0.3286666666666668,2105.556666666667
31,BC,PRINCE GEORGE,1096439,1912,8,2017,12,53.88,-122.67,680,Y,,,,,
32,BC,PRINCE RUPERT,1066482,1908,8,2017,12,54.28,-130.45,35,Y,,,,,
33,BC,PRINCETON,1126510,1893,7,2017,12,49.47,-120.52,700,Y,12.955163971506026,28.226333333333336,0.20303927590220092,-9.677333333333333,1161.4199999999996
34,BC,QUATSINO,1036572,1895,6,2017,2,50.53,-127.65,8,Y,,,,,
35,BC,QUESNEL,1096629,1899,1,2017,12,53.03,-122.52,545,Y,11.424860608454773,25.487666666666666,-0.2808391123619711,-11.949000000000002,1196.5766666666668
36,BC,QUINSAM RIVER,1026639,1958,7,2017,12,50.02,-125.3,46,Y,13.860521861533867,24.28333333333334,4.892076830283668,-1.6416666666666666,1934.99
37,BC,SALMON ARM,1167337,1911,7,2017,12,50.68,-119.23,527,Y,,,,,
38,BC,SANDSPIT,1057050,1945,9,2017,3,53.25,-131.82,6,N,11.383652998544404,17.733333333333334,5.751303533425581,-0.2283333333333334,2156.4100000000008
39,BC,SHAWNIGAN LAKE,1017230,1913,4,2017,12,48.65,-123.63,138,N,14.250692978516355,24.15833333333333,5.476435020697924,-1.1516666666666666,2134.23
40,BC,SMITHERS,1077500,1922,6,2017,12,54.82,-127.18,522,Y,9.473920284444176,22.40033333333333,-0.7306756992788882,-11.803666666666665,1031.7933333333335
41,BC,STEWART,1067742,1910,9,2016,6,55.93,-129.98,7,Y,9.83407661781002,20.692000000000007,2.3979376855063577,-6.551,1482.9
42,BC,TATLAYOKO LAKE,1088015,1930,1,2017,12,51.67,-124.4,870,Y,,,,,
43,BC,TERRACE,1068134,1912,10,2017,12,54.47,-128.58,217,Y,10.154989869501211,22.21133333333333,3.1867936222771167,-5.209,1676.2333333333333
44,BC,VANCOUVER,1108395,1896,2,2017,12,49.2,-123.18,4,Y,13.954208473688151,22.40400000000001,7.013878508870425,-0.1826666666666667,2673.563333333333
45,BC,VAVENBY,1168520,1913,4,2017,12,51.58,-119.78,445,N,12.699861750300439,27.44,1.0211215024804459,-8.928333333333333,1304.3166666666666
46,BC,VERNON,1128582,1900,4,2017,12,50.23,-119.2,427,Y,13.573775965153384,28.37033333333334,3.342999874025482,-6.262333333333332,1846.836666667976
47,BC,VICTORIA,1018621,1898,8,2017,12,48.45,-123.27,19,Y,14.430714724156001,22.86033333333333,5.925581904833195,-0.3040000000000001,2253.143333333333
48,BC,WARFIELD,1148705,1928,6,2017,12,49.1,-117.75,606,Y,,,,,
49,BC,WILLIAMS LAKE,1098941,1939,1,2017,12,52.18,-122.05,940,Y,10.02670970881054,23.725666666666665,-0.6092865733463083,-12.164666666666665,1134.65
50,BC,WISTARIA,1085835,1926,1,2017,7,53.83,-126.22,863,Y,8.395752424512645,20.665000000000006,-2.0906274600515937,-13.675,835.9
51,YT,DAWSON,2100LRP,1901,1,2017,12,64.05,-139.13,370,Y,2.179187457209804,23.02333333333333,-10.217713582195259,-33.248999999999995,725.1933333333333
52,N   YT,HAINES JUNCTIO,2100630,1944,10,2017,12,60.75,-137.5,596,N,,,,,
53,YT,KOMAKUK BEACH,2100682,1958,7,2017,12,69.62,-140.2,13,Y,,,,,
54,YT,MAYO,2100701,1924,10,2017,12,63.62,-135.87,504,Y,,,,,
55,YT,OLD CROW,2100805,1951,9,2017,12,67.57,-139.83,251,Y,,,,,
56,YT,PELLY RANCH,2100880,1955,1,2015,3,62.82,-137.37,454,N,,,,,
57,YT,SHINGLE POINT,2100950,1957,6,2017,12,68.95,-137.22,49,N,,,,,
58,YT,TESLIN,2101102,1943,10,2017,12,60.17,-132.75,705,Y,,,,,
59,YT,WATSON LAKE,2101204,1938,10,2017,12,60.12,-128.82,687,Y,,,-7.773128955188428,-28.316999999999997,882.6233333341103
60,YT,WHITEHORSE,2101303,1942,4,2017,12,60.72,-135.07,706,Y,,,,,
61,NT,CAPE PARRY,2200675,1957,5,2017,12,70.17,-124.72,87,N,,,,,
62,NT,FORT GOOD HOPE,2201450,1944,8,2017,12,66.23,-128.65,82,Y,,,,,
63,NT,FORT MCPHERSON,2201601,1940,1,2014,11,67.4,-134.85,35,Y,,,,,
64,NT,FORT RELIANCE,2201903,1948,10,2017,12,62.72,-109.17,168,Y,,,,,
65,NT,FORT SIMPSON,2202103,1895,11,2017,12,61.77,-121.23,169,Y,2.8011473094720434,24.06733333333333,-7.67359231543684,-29.24866666666667,1108.78000000048
66,NT,FORT SMITH,2202201,1913,7,2017,12,60.02,-111.97,205,Y,3.76886124210894,23.70166666666667,-6.683225740449633,-28.595,1103.0399999999997
67,NT,HAY RIVER,2202401,1893,9,2017,12,60.83,-115.78,166,Y,2.4430903868569485,21.831,-6.845405286992867,-28.10433333333333,1103.3266666666666
68,NT,INUVIK,2202578,1957,3,2017,12,68.3,-133.48,103,Y,-3.4539382914707724,19.935666666666673,-12.451844515213326,-34.015333333333324,710.8633333333331
69,NT,MOULD BAY,250M001,1948,5,2017,12,76.23,-119.35,2,Y,,,,,
70,NT,NORMAN WELLS,2202801,1943,5,2017,12,65.28,-126.8,73,Y,-0.2583984107452657,22.63333333333333,-9.46707686938181,-31.78166666666666,1072.6366666666663
71,NT,SACHS HARBOUR,2503648,1955,11,2017,11,72.0,-125.27,86,Y,,,,,
72,NT,TUKTOYAKTUK,2203914,1957,6,2017,7,69.45,-133.0,18,Y,,,,,
73,NT,YELLOWKNIFE,2204101,1942,7,2017,12,62.47,-114.43,206,Y,0.17919938581041436,20.80233333333334,-7.990783728100267,-31.263333333333332,1199.2866666666666
74,NU,ALERT,2400305,1950,7,2017,12,82.5,-62.33,65,Y,-14.017302525406064,4.741666666666669,-20.641489022595824,-38.15566666666667,58.61666666666666
75,NU,ARCTIC BAY,2400404,1937,9,2017,12,72.98,-84.62,642,Y,,,,,
76,NU,BAKER LAKE,2300503,1946,2,2017,12,64.3,-96.08,18,Y,-7.164930992743724,15.177999999999999,-14.615955077859757,-36.021,473.20333333333326
77,NU,BROUGHTON,2400570,1957,9,2017,12,67.53,-63.78,584,N,,,,,
78,NU,CAMBRIDGE BAY,2400600,1940,1,2015,2,69.1,-105.13,27,N,-10.301986377322557,10.764000000000005,-16.83871240759889,-37.170666666666655,336.74999999999994
79,NU,CAPE DORSET,2400637,1927,9,2017,12,64.2,-76.5,48,Y,,,,,
80,NU,CAPE DYER,2400650,1959,8,2017,11,66.65,-61.38,393,Y,,,,,
81,NU,CAPE HOOPER,2400660,1957,1,2017,12,68.47,-66.82,390,N,,,,,
82,NU,CHESTERFIELD,2300707,1930,9,2014,11,63.33,-90.72,10,Y,,,,,
83,NU,CLYDE,2400803,1946,2,2017,12,70.48,-68.52,27,Y,-8.631127040174807,7.6060000000000025,-16.209890539620243,-35.93533333333333,115.87999999999998
84,NU,CORAL HARBOUR,2301000,1945,3,2015,5,64.2,-83.37,64,N,-6.738894354617016,12.531333333333334,-14.26677032953782,-35.25199999999999,356.91
85,NU,DEWAR LAKES,2401030,1958,2,2017,12,68.65,-71.17,527,N,,,,,
86,NU,ENNADAI LAKE,2301102,1949,10,2017,12,61.1,-100.9,353,Y,,,,,
87,NU,EUREKA,2401200,1947,5,2016,2,79.98,-85.93,10,N,-15.366463384428053,7.63766666666667,-21.935075259755177,-42.88666666666667,174.63333333333333
88,NU,HALL BEACH,2402354,1957,1,2017,12,68.78,-81.25,8,Y,-9.737036011262104,8.097000000000001,-16.485248781162372,-37.710333333333345,211.24666666666675
89,NU,IQALUIT,2402591,1946,1,2015,6,63.75,-68.55,34,Y,-5.227826820665955,10.923666666666668,-12.233231771309722,-33.033,339.3966666666668
90,NU,KUGLUKTUK,2300902,1930,10,2014,12,67.82,-115.13,23,Y,-6.0284812663309095,14.567666666666673,-13.815513368996088,-34.29133333333333,465.6766666666666
91,NU,LUPIN,230N002,1959,1,2017,12,65.77,-111.23,490,Y,,,,,
92,NU,PELLY BAY,2303092,1957,8,2012,8,68.53,-89.8,16,Y,,,,,
93,NU,POND INLET,2403206,1922,10,2017,12,72.7,-77.97,55,Y,,,,,
94,NU,RESOLUTE,2403498,1947,10,2017,12,74.72,-94.98,67,Y,-12.598808793073337,5.601000000000003,-18.184694812485965,-36.89533333333335,107.34
95,NU,SHEPHERD BAY,2303685,1957,4,2017,10,68.82,-93.43,43,N,,,,,
96,AB,ATHABASCA,3060L20,1918,6,2017,12,54.82,-113.53,626,Y,8.24039546232748,24.018666666666668,-3.3623459090201866,-21.04,1168.2333333336667
97,AB,BANFF,3050519,1887,11,2017,12,51.2,-115.55,1397,Y,8.906518083603665,23.132000000000005,-3.0848843691553105,-15.858333333333334,750.3699999999997
98,AB,BEAVERLODGE,3070600,1913,4,2017,12,55.2,-119.4,745,Y,8.15845858987854,23.086666666666666,-2.927270109385121,-18.997666666666667,1051.9166666666667
99,AB,CALGARY,3031092,1885,1,2017,12,51.12,-114.02,1084,Y,10.83497632058288,24.46733333333333,-1.44460585872196,-15.234999999999998,1172.05
100,AB,CALMAR,3011120,1915,11,2016,12,53.28,-113.85,720,N,,,,,
101,AB,CAMPSIE,3061200,1912,9,2013,10,54.13,-114.68,671,N,9.214513750042183,24.54833333333333,-4.2165286212236985,-21.218333333333327,979.1666666666665
102,AB,CAMROSE,3011240,1946,3,2017,12,53.03,-112.82,739,N,8.964965874538196,24.175666666666665,-3.714421213706964,-20.588000000000005,1048.13
103,AB,CARWAY,3031402,1914,8,2017,12,49.0,-113.37,1354,Y,11.139693563205011,24.925000000000004,-1.6188581178035701,-13.98,956.8366666666666
104,AB,COLD LAKE,3081680,1925,7,2017,12,54.42,-110.28,541,Y,7.7244846919679615,24.27366666666667,-3.0375949297602114,-21.203666666666663,1303.95
105,AB,CORONATION,3011887,1924,4,2017,12,52.08,-111.45,791,Y,,,,,
106,AB,EDMONTON,3012216,1880,7,2017,12,53.57,-113.52,723,Y,8.982117324151009,24.328000000000003,-3.117088779100232,-19.190666666666672,1095.9333333333334
107,AB,EDSON,3062246,1914,2,2017,12,53.58,-116.47,927,Y,,,,,
108,AB,ENTRANCE,306A009,1917,6,2017,12,53.37,-117.7,991,Y,,,,,
109,AB,FAIRVIEW,3072525,1931,10,2017,12,56.07,-118.38,655,Y,,,,,
110,AB,FORT CHIPEWYAN,3072655,1883,10,2017,12,58.77,-111.12,238,Y,4.2821903081061565,23.56600000000001,-6.544206263269843,-28.629666666666665,1135.1133333337334
111,AB,FORT MCMURRAY,3062696,1916,1,2017,12,56.65,-111.22,369,Y,7.080703622998255,24.609666666666666,-4.51151580707166,-23.88366666666667,1145.9833333333333
112,AB,FORT VERMILION,3072723,1908,7,2017,12,58.38,-116.03,289,Y,,,,,
113,AB,GLEICHEN,3032801,1903,7,2017,12,50.88,-113.05,905,Y,,,,,
114,AB,GRANDE PRAIRIE,3072921,1922,8,2017,12,55.18,-118.88,669,Y,8.185238615664845,23.77133333333333,-3.374007610350076,-20.71266666666667,1126.3333333333333
115,AB,HIGH PRAIRIE,3063165,1926,9,2017,9,55.4,-116.48,602,Y,,,,,
116,AB,HIGH RIVER,3033250,1902,8,2011,9,50.48,-114.17,1580,Y,,,,,
117,AB,JASPER,3053536,1926,9,2017,12,52.93,-118.03,1020,Y,9.831019733316088,24.131999999999998,-3.3416059693659004,-16.509666666666668,761.9466666666666
118,AB,LACOMBE,3023722,1907,12,2017,12,52.45,-113.75,860,Y,,,,,
119,AB,LETHBRIDGE,3033890,1902,1,2017,12,49.63,-112.8,929,Y,,,,,
120,AB,MANYBERRIES,3044923,1928,8,2017,12,49.12,-110.47,935,Y,,,,,
121,AB,MEDICINE HAT,3034485,1883,8,2017,12,50.02,-110.72,717,Y,12.648925816003668,28.49733333333333,-0.1558995499337382,-15.783333333333333,1563.8666666666666
122,AB,OLDS,3024925,1914,4,2017,12,51.78,-114.1,1046,Y,,,,,
123,AB,PEACE RIVER,3075041,1907,10,2017,12,56.23,-117.43,571,Y,7.358368558108059,23.566333333333336,-3.784060690450005,-21.467666666666673,1121.1066666670667
124,AB,PINCHER CREEK,3035198,1893,8,2017,12,49.52,-113.98,1190,Y,10.9736686708549,25.435,-0.8377672475387589,-14.17,1166.0166666679402
125,AB,RANFURLY,3015401,1905,1,2017,12,53.42,-111.73,673,Y,8.434512693104695,24.95166666666667,-2.982488473613925,-19.99833333333333,1204.6033333333335
126,AB,ROCKY MTN HOUSE,3015523,1915,8,2017,12,52.43,-114.92,988,Y,,,,,
127,AB,SLAVE LAKE,3065995,1922,8,2017,12,55.3,-114.78,583,Y,7.481366346602561,22.46433333333333,-3.4222671257555115,-20.380333333333336,1131.03
128,AB,STETTLER NORTH,3016124,1918,9,2017,12,52.33,-112.72,821,Y,,,,,
129,AB,VAUXHALL,3036682,1913,10,2017,12,50.05,-112.13,779,Y,,,,,
130,AB,WHITECOURT,3067373,1942,12,2016,6,54.15,-115.78,782,Y,8.458045069991865,23.313333333333336,-2.4902072376066093,-17.834,1104.9166666671633
131,SK,ESTEVAN,4012400,1900,6,2015,2,49.22,-102.97,581,Y,9.986253886268932,27.447,-2.2003235022581533,-20.280000000000005,1435.493333333333
132,SK,HUDSON BAY,4083324,1943,3,2017,12,52.82,-102.32,358,Y,,,,,
133,SK,INDIAN HEAD,4013480,1889,9,2017,12,50.55,-103.65,579,N,8.171956598608832,25.788,-4.403007053819293,-23.76166666666667,1109.486666667043
134,SK,ISLAND FALLS,4063565,1929,9,2017,12,55.53,-102.35,297,Y,,,,,
135,SK,KELLIHER,4013660,1908,1,2017,12,51.25,-103.75,676,Y,7.773738685640027,25.48333333333333,-3.4946787545605487,-22.41333333333333,1273.6333333338334
136,SK,KINDERSLEY,4043901,1912,8,2017,12,51.52,-109.18,694,Y,9.32363762689783,26.585666666666665,-2.6666679521808785,-20.319333333333336,1314.2566666666667
137,SK,LA RONGE,4064155,1923,9,2017,12,55.15,-105.27,379,Y,5.977772213489032,23.87466666666667,-4.7244624348129864,-25.829,1251.6566666666668
138,SK,LEADER,402DAF0,1924,1,2017,12,50.88,-109.53,676,Y,10.99539755786834,27.952666666666666,-1.9831307045366589,-19.019666666666673,1359.6566666666665
139,SK,LOON LAKE,4064620,1930,1,2017,12,54.02,-109.13,546,Y,,,,,
140,SK,LOST RIVER,4075525,1911,5,2017,12,53.28,-104.33,372,Y,,,,,
141,SK,MOOSE JAW,4015322,1894,3,2017,12,50.33,-105.55,577,Y,10.544505429875569,27.624333333333336,-1.9292100032827189,-19.69533333333334,1437.5966666671334
142,SK,NORTHBATTLEFORD,4045695,1891,1,2017,12,52.77,-108.25,548,Y,8.211414650615312,25.605999999999995,-3.3402209038124044,-21.69766666666667,1298.8933333333334
143,SK,OUTLOOK,4055736,1915,2,2017,12,51.48,-107.05,541,Y,9.483288414243932,26.517000000000003,-2.1271772935912847,-20.17633333333333,1401.0733333337869
144,SK,PELLY,4086000,1951,8,2016,3,52.08,-101.87,509,N,6.4855262974426795,24.12833333333333,-5.016558292341497,-25.24833333333333,1102.7433333333333
